row_id,query_uid,hinglish_query,devanagari_transliteration,normalized_query,category,search_intent,search_volume_monthly,keyword_difficulty,cpc_inr,competition_score,serp_feature,avg_position,impressions_monthly,clicks_pct,platform_source,target_region,primary_device,language_mix_type,has_slang,has_roman_hindi,base_query_en,year_tagged,is_question_query,word_count
35,544232D0,netflix pe naya show,netflix पे naya show,netflix par naya show,Entertainment & Bollywood,Transactional,84953,29,3.07,0.11,Knowledge Panel,30.5,484904,0.8,Nykaa,Rajasthan,Mobile,English-dominant Hinglish,False,True,netflix pe naya show,2024,False,4
36,160FF416,shah rukh khan ki film tadka,shah rukh khan की film tadka,shah rukh khan ki film tadka,Entertainment & Bollywood,Transactional,29429,33,2.76,0.51,Knowledge Panel,26.5,101940,0.42,Amazon India,Gujarat,Desktop,Hindi-dominant Hinglish,True,True,shah rukh khan ki film,,False,6
37,14F3C3FE,kya alia bhatt wedding photos sahi hai,क्या alia bhatt wedding photos sahi है,kya alia bhatt wedding photos sahi hai,Entertainment & Bollywood,Transactional,52155,75,0.51,0.53,Image Pack,16.9,171962,0.48,Amazon India,Delhi NCR,Tablet,Hinglish,False,True,alia bhatt wedding photos,2025,True,7
38,FF8C66F8,bindaas pe kaunsi movie dekhein,bindaas पे kaunsi movie dekhein,bindaas par kaunsi movie dekhein,Entertainment & Bollywood,Transactional,34329,84,3.21,0.82,Video Carousel,33.4,185384,0.74,Flipkart Search,Rajasthan,Mobile,Hinglish,True,True,ott pe kaunsi movie dekhein,,False,5
39,B8046D82,pathan movie review hindi mein hindi mein,pathan movie review hindi में hindi में,pathan movie review hindi me hindi me,Entertainment & Bollywood,Commercial Investigation,18440,93,0.16,0.76,Local Pack,41.0,146891,0.62,Amazon India,Gujarat,Desktop,Hindi-dominant Hinglish,False,True,pathan movie review hindi mein,2025,False,7
40,C3473C84,hrithik roshan six pack workout,hrithik roshan six pack workout,hrithik roshan six pack workout,Entertainment & Bollywood,Commercial Investigation,29245,88,2.43,0.86,Knowledge Panel,5.8,78300,0.78,Meesho,Rajasthan,Desktop,Hinglish,False,False,hrithik roshan six pack workout,2024,False,5
41,093573F1,ranbir kapoor new movie trailer paisa vasool,ranbir kapoor न्यू movie trailer paisa vasool,ranbir kapoor new movie trailer paisa vasool,Entertainment & Bollywood,Navigational,34002,93,3.65,0.3,Knowledge Panel,44.5,143932,0.78,Meesho,North India,Mobile,Hindi-dominant Hinglish,True,True,ranbir kapoor new movie trailer,2025,False,7
42,3FB897D8,kya kya SRK ka naya movie aaya sahi hai,क्या क्या SRK का naya movie aaya sahi है,kya kya SRK ka naya movie aaya sahi hai,Entertainment & Bollywood,Informational,34252,75,1.36,0.16,People Also Ask,43.5,162803,0.79,Google India,UP & Bihar,Tablet,English-dominant Hinglish,False,True,kya SRK ka naya movie aaya,2025,True,9
43,564D5E4B,animal movie controversy kya hai 2024,animal movie controversy क्या है 2024,animal movie controversy kya hai 2024,Entertainment & Bollywood,Navigational,69546,39,1.89,0.9,Video Carousel,43.3,169063,0.84,JioSaavn,West Bengal,Desktop,English-dominant Hinglish,False,True,animal movie controversy kya hai,2024,False,6
44,C338E027,tadka actor ki salary kitni hai,tadka actor की salary kitni है,tadka actor ki salary kitni hai,Entertainment & Bollywood,Navigational,10692,63,1.53,0.29,Local Pack,8.8,56088,0.73,Google India,Pan India,Desktop,Hindi-dominant Hinglish,True,True,bollywood actor ki salary kitni hai,2024,False,6
45,06F2C0A2,katrina kaif diet plan,katrina kaif diet plan,katrina kaif diet plan,Entertainment & Bollywood,Commercial Investigation,17061,79,1.98,0.13,People Also Ask,1.7,66967,0.41,Nykaa,Tamil Nadu,Desktop,Hinglish,False,True,katrina kaif diet plan,2025,False,4
46,6E45F8E0,gaana download kaise karein dhamaka,gaana download कैसे करें dhamaka,gaana download kaifrom karo dhamaka,Entertainment & Bollywood,Informational,69703,25,0.13,0.38,Knowledge Panel,16.0,332600,0.36,JioSaavn,Maharashtra,Tablet,Hindi-dominant Hinglish,True,True,gaana download kaise karein,2024,False,5
47,ED46AB3B,kya hrithik roshan six pack workout sahi hai,क्या hrithik roshan six pack workout sahi है,kya hrithik roshan six pack workout sahi hai,Entertainment & Bollywood,Commercial Investigation,6092,39,4.27,0.49,Knowledge Panel,49.8,14435,0.68,Zepto,UP & Bihar,Tablet,Hindi-dominant Hinglish,False,True,hrithik roshan six pack workout,2025,True,8
48,91F00930,kya hai iss gaane ka naam 2024,क्या है iss gaane का naam 2024,kya hai iss gaane ka naam 2024,Entertainment & Bollywood,Commercial Investigation,47187,97,0.89,0.29,Featured Snippet,7.0,225559,0.31,JioSaavn,Maharashtra,Tablet,Hinglish,False,True,kya hai iss gaane ka naam,,True,7
49,49BDAD34,dhamaka download kaise karein,dhamaka download कैसे करें,dhamaka download kaifrom karo,Entertainment & Bollywood,Transactional,85367,5,1.72,1.0,None,2.0,490705,0.66,Zepto,UP & Bihar,Mobile,English-dominant Hinglish,True,True,gaana download kaise karein,,False,4
50,F04AAEC8,bollywood gossip aaj ka hindi mein,bollywood gossip aaj का hindi में,bollywood gossip aaj ka hindi me,Entertainment & Bollywood,Informational,15276,54,2.03,0.28,Image Pack,21.6,23837,0.68,Amazon India,Tamil Nadu,Tablet,Hinglish,False,True,bollywood gossip aaj ka,2024,False,6
51,2968DDC7,alia bhatt wedding photos tadka,alia bhatt wedding photos tadka,alia bhatt wedding photos tadka,Entertainment & Bollywood,Navigational,86932,67,1.25,0.21,People Also Ask,10.7,190443,0.36,YouTube,Rajasthan,Tablet,English-dominant Hinglish,True,True,alia bhatt wedding photos,2024,False,5
52,F26D9003,desi tadka comedy show 2024,desi tadka comedy show 2024,desi tadka comedy show 2024,Entertainment & Bollywood,Transactional,34571,67,4.38,0.59,Knowledge Panel,24.6,206503,0.8,Nykaa,Delhi NCR,Mobile,Hinglish,True,True,desi tadka comedy show,2024,False,5
53,DEE792C6,kya timepass ka naya movie aaya,क्या timepass का naya movie aaya,kya timepass ka naya movie aaya,Entertainment & Bollywood,Informational,458,2,3.04,0.17,None,32.6,3380,0.7,Swiggy,South India,Mobile,English-dominant Hinglish,True,True,kya SRK ka naya movie aaya,2025,True,6
54,0305A531,katrina kaif diet plan hindi mein,katrina kaif diet plan hindi में,katrina kaif diet plan hindi me,Entertainment & Bollywood,Informational,38900,34,2.12,0.82,None,5.7,245089,0.47,Flipkart Search,Pan India,Desktop,Hindi-dominant Hinglish,False,True,katrina kaif diet plan,2024,False,6
55,5F501660,yrf movies ott release date tadka,yrf movies ott release date tadka,yrf movies ott releafrom date tadka,Entertainment & Bollywood,Navigational,1367,18,3.0,0.89,Local Pack,10.0,9291,0.35,Meesho,Tamil Nadu,Tablet,Hindi-dominant Hinglish,True,True,yrf movies ott release date,2025,False,6
56,783C5E7B,kya ranbir kapoor new movie trailer sahi hai,क्या ranbir kapoor न्यू movie trailer sahi है,kya ranbir kapoor new movie trailer sahi hai,Entertainment & Bollywood,Commercial Investigation,52561,59,1.26,0.2,Knowledge Panel,47.2,98877,0.68,Swiggy,Gujarat,Tablet,Hinglish,False,True,ranbir kapoor new movie trailer,2024,True,8
57,288184F9,south tadka dubbed movie hindi,south tadka dubbed movie hindi,south tadka dubbed movie hindi,Entertainment & Bollywood,Commercial Investigation,13693,54,4.1,0.8,None,44.1,97312,0.64,Swiggy,South India,Tablet,Hindi-dominant Hinglish,True,True,south ki dubbed movie hindi,,False,5
58,5B2E1C11,gaana download kaise karein ekdum mast,gaana download कैसे करें ekdum mast,gaana download kaifrom karo ekdum mast,Entertainment & Bollywood,Informational,17225,62,4.15,0.69,People Also Ask,26.7,123058,0.31,Swiggy,Pan India,Mobile,Hindi-dominant Hinglish,True,True,gaana download kaise karein,,False,6
59,FA083BDB,bollywood gossip aaj ka 2024,bollywood gossip aaj का 2024,bollywood gossip aaj ka 2024,Entertainment & Bollywood,Transactional,75682,93,2.56,0.7,Image Pack,34.1,283608,0.44,Zepto,UP & Bihar,Mobile,Hindi-dominant Hinglish,False,True,bollywood gossip aaj ka,2025,False,5
60,E97D6846,netflix tadka naya show,netflix tadka naya show,netflix tadka naya show,Entertainment & Bollywood,Informational,19584,72,4.02,0.88,Featured Snippet,12.8,91960,0.34,Flipkart Search,Rajasthan,Desktop,Hindi-dominant Hinglish,True,True,netflix pe naya show,2025,False,4
61,99A7EE42,spotify pe free music kaise sunein dhamaka,spotify पे फ्री music कैसे sunein dhamaka,spotify par free music kaifrom sunein dhamaka,Entertainment & Bollywood,Commercial Investigation,6699,65,1.04,0.82,People Also Ask,22.9,47347,0.55,JioSaavn,North India,Desktop,Hindi-dominant Hinglish,True,True,spotify pe free music kaise sunein,2024,False,7
62,2C5930AC,kya shah rukh khan ki film sahi hai,क्या shah rukh khan की film sahi है,kya shah rukh khan ki film sahi hai,Entertainment & Bollywood,Informational,65291,96,2.96,0.1,People Also Ask,31.3,354355,0.35,Nykaa,Pan India,Tablet,English-dominant Hinglish,False,True,shah rukh khan ki film,2025,True,8
63,FAF81565,gaana download kaise karein 2024,gaana download कैसे करें 2024,gaana download kaifrom karo 2024,Entertainment & Bollywood,Commercial Investigation,66728,72,0.97,0.4,Local Pack,36.1,360310,0.72,Meesho,Pan India,Mobile,Hindi-dominant Hinglish,False,True,gaana download kaise karein,2025,False,5
64,0E058D21,shah rukh dhamaka ki film,shah rukh dhamaka की film,shah rukh dhamaka ki film,Entertainment & Bollywood,Navigational,59414,15,0.48,0.59,Featured Snippet,44.9,130181,0.51,Meesho,West Bengal,Tablet,Hindi-dominant Hinglish,True,True,shah rukh khan ki film,2025,False,5
65,F62373D0,kya animal movie controversy kya hai sahi hai,क्या animal movie controversy क्या है sahi है,kya animal movie controversy kya hai sahi hai,Entertainment & Bollywood,Commercial Investigation,18508,92,3.35,0.21,Featured Snippet,41.4,53697,0.77,Amazon India,UP & Bihar,Mobile,Hinglish,False,True,animal movie controversy kya hai,2024,True,8
66,B6B1F83B,yrf movies ott release date 2024,yrf movies ott release date 2024,yrf movies ott releafrom date 2024,Entertainment & Bollywood,Informational,44393,14,3.42,0.63,Knowledge Panel,1.2,344714,0.58,YouTube,Tamil Nadu,Desktop,English-dominant Hinglish,False,True,yrf movies ott release date,,False,6
67,2E2FBCAC,deepika padukone ki ekdum mast,deepika padukone की ekdum mast,deepika padukone ki ekdum mast,Entertainment & Bollywood,Commercial Investigation,6466,71,4.21,0.83,Image Pack,30.7,37333,0.36,Flipkart Search,UP & Bihar,Mobile,English-dominant Hinglish,True,True,deepika padukone ki height,2025,False,5
68,2B1DA104,ranbir kapoor new movie trailer,ranbir kapoor न्यू movie trailer,ranbir kapoor new movie trailer,Entertainment & Bollywood,Navigational,66174,50,1.91,0.82,Local Pack,44.4,358425,0.38,Nykaa,West Bengal,Desktop,Hindi-dominant Hinglish,False,True,ranbir kapoor new movie trailer,,False,5
69,0CE734B2,alia bhatt wedding photos ekdum mast,alia bhatt wedding photos ekdum mast,alia bhatt wedding photos ekdum mast,Entertainment & Bollywood,Transactional,39279,90,2.49,0.66,Knowledge Panel,33.9,147076,0.46,Zepto,Maharashtra,Mobile,Hinglish,True,False,alia bhatt wedding photos,,False,6
70,05777739,kya netflix pe naya show sahi hai,क्या netflix पे naya show sahi है,kya netflix par naya show sahi hai,Entertainment & Bollywood,Transactional,85308,23,2.29,0.62,Knowledge Panel,34.0,521726,0.82,YouTube,West Bengal,Tablet,Hindi-dominant Hinglish,False,True,netflix pe naya show,,True,7
71,5667388C,latest web series hindi 2024,latest web series hindi 2024,latest web fromries hindi 2024,Entertainment & Bollywood,Informational,37577,55,3.65,0.15,Featured Snippet,49.2,248232,0.45,Nykaa,South India,Mobile,English-dominant Hinglish,False,True,latest web series hindi,,False,5
72,1BBAD232,gaana download tadka karein,gaana download tadka करें,gaana download tadka karo,Entertainment & Bollywood,Transactional,32941,19,3.79,0.19,Video Carousel,43.4,207749,0.78,Zepto,Pan India,Desktop,Hindi-dominant Hinglish,True,True,gaana download kaise karein,,False,4
73,2B5B0E4B,imdb top hindi movies hindi mein,imdb top hindi movies hindi में,imdb top hindi movies hindi me,Entertainment & Bollywood,Transactional,84919,72,1.78,0.96,Knowledge Panel,28.1,299955,0.84,Google India,Gujarat,Desktop,Hindi-dominant Hinglish,False,True,imdb top hindi movies,2024,False,6
74,D733DB90,animal movie controversy kya hai,animal movie controversy क्या है,animal movie controversy kya hai,Entertainment & Bollywood,Commercial Investigation,33043,26,2.81,0.76,None,10.5,205261,0.41,JioSaavn,West Bengal,Tablet,English-dominant Hinglish,False,True,animal movie controversy kya hai,2025,False,5
75,25238428,jiosamn pe free songs paisa vasool,jiosamn पे फ्री songs paisa vasool,jiosamn par free songs paisa vasool,Entertainment & Bollywood,Navigational,23355,88,0.38,0.49,Knowledge Panel,29.6,54777,0.61,Zepto,North India,Desktop,Hinglish,True,True,jiosamn pe free songs,2025,False,6
76,EB7C13ED,kya SRK ka naya movie aaya 2024,क्या SRK का naya movie aaya 2024,kya SRK ka naya movie aaya 2024,Entertainment & Bollywood,Navigational,839,43,2.13,0.8,Featured Snippet,15.8,5856,0.64,Flipkart Search,West Bengal,Tablet,Hinglish,False,True,kya SRK ka naya movie aaya,,True,7
77,5618AA1A,gaana download kaise ekdum mast,gaana download कैसे ekdum mast,gaana download kaifrom ekdum mast,Entertainment & Bollywood,Transactional,72210,46,0.37,0.81,Image Pack,20.8,363217,0.39,JioSaavn,South India,Tablet,Hinglish,True,True,gaana download kaise karein,2025,False,5
78,5BCD6C37,kya hai iss gaane ka naam hindi mein,क्या है iss gaane का naam hindi में,kya hai iss gaane ka naam hindi me,Entertainment & Bollywood,Transactional,29092,28,3.0,0.53,Local Pack,32.8,185864,0.61,Amazon India,Maharashtra,Tablet,English-dominant Hinglish,False,True,kya hai iss gaane ka naam,2024,True,8
79,51A6334B,shah rukh khan ki film dhamaka,shah rukh khan की film dhamaka,shah rukh khan ki film dhamaka,Entertainment & Bollywood,Navigational,87779,45,2.03,0.33,Featured Snippet,26.3,145764,0.7,Meesho,Gujarat,Mobile,Hindi-dominant Hinglish,True,True,shah rukh khan ki film,2025,False,6
80,C2DB57EE,kya ott pe kaunsi movie dekhein sahi hai,क्या ott पे kaunsi movie dekhein sahi है,kya ott par kaunsi movie dekhein sahi hai,Entertainment & Bollywood,Informational,67511,66,2.03,0.95,Local Pack,27.4,520901,0.39,JioSaavn,West Bengal,Tablet,Hinglish,False,True,ott pe kaunsi movie dekhein,2024,True,8
81,B2DDE2AE,ranbir kapoor new ekdum mast trailer,ranbir kapoor न्यू ekdum mast trailer,ranbir kapoor new ekdum mast trailer,Entertainment & Bollywood,Navigational,82273,9,0.99,0.85,None,22.3,519877,0.78,Nykaa,North India,Mobile,English-dominant Hinglish,True,True,ranbir kapoor new movie trailer,2024,False,6
82,EFE5CDD3,kya hai iss gaane ka naam,क्या है iss gaane का naam,kya hai iss gaane ka naam,Entertainment & Bollywood,Transactional,20252,4,2.09,0.81,Featured Snippet,12.2,106064,0.61,YouTube,North India,Mobile,Hinglish,False,True,kya hai iss gaane ka naam,2025,True,6
83,890F2391,bollywood gossip aaj ka bindaas,bollywood gossip aaj का bindaas,bollywood gossip aaj ka bindaas,Entertainment & Bollywood,Commercial Investigation,53529,50,2.06,0.21,People Also Ask,4.1,330908,0.3,Meesho,Pan India,Desktop,English-dominant Hinglish,True,True,bollywood gossip aaj ka,,False,5
84,FC360306,kya south ki dubbed movie hindi sahi hai,क्या south की dubbed movie hindi sahi है,kya south ki dubbed movie hindi sahi hai,Entertainment & Bollywood,Informational,76856,6,3.17,0.37,Local Pack,22.4,497587,0.35,Zepto,North India,Desktop,English-dominant Hinglish,False,True,south ki dubbed movie hindi,2025,True,8
85,4D5AFDD8,alia bhatt wedding photos 2024,alia bhatt wedding photos 2024,alia bhatt wedding photos 2024,Entertainment & Bollywood,Navigational,86702,4,2.16,0.23,Video Carousel,40.0,645244,0.67,Nykaa,Rajasthan,Desktop,English-dominant Hinglish,False,False,alia bhatt wedding photos,,False,5
86,60F60208,best hindi movies 2023 timepass,बेस्ट hindi movies 2023 timepass,best hindi movies 2023 timepass,Entertainment & Bollywood,Informational,85026,48,4.31,0.1,Image Pack,47.4,424406,0.63,Zepto,South India,Mobile,Hinglish,True,False,best hindi movies 2023 list,2025,False,5
87,7F2445E5,imdb top hindi movies dekhna chahiye,imdb top hindi movies dekhna chahiye,imdb top hindi movies dekhna chahiye,Entertainment & Bollywood,Transactional,27632,96,3.35,0.27,Video Carousel,6.6,86842,0.64,Nykaa,Rajasthan,Mobile,Hinglish,True,False,imdb top hindi movies,,False,6
88,4266308F,kya katrina kaif diet plan sahi hai,क्या katrina kaif diet plan sahi है,kya katrina kaif diet plan sahi hai,Entertainment & Bollywood,Commercial Investigation,74456,7,3.84,0.16,Knowledge Panel,24.9,462843,0.35,Zepto,North India,Desktop,English-dominant Hinglish,False,True,katrina kaif diet plan,2025,True,7
